iteration,clf__alpha,clf__l1_ratio,clf__n_iter,kbest__percentile,vec__max_df,vec__min_df,vec__ngram_range,vec__sublinear_tf,scores_10_fold_cv
250,4.73E-05,0.100625096,30,56.56616204,0.761945364,2,"(1, 3)",TRUE,0.965190751
251,8.82E-07,0.079953852,20,55.15772784,0.787614826,1,"(1, 3)",TRUE,0.961466863
252,1.08E-08,0.174757023,65,58.16940953,0.720783309,2,"(1, 3)",FALSE,0.953454809
253,9.89E-05,0.415509346,40,51.06001097,0.804284794,3,"(1, 3)",TRUE,0.958044338
254,5.04E-09,0.231765629,45,54.09248399,0.754584943,2,"(1, 3)",TRUE,0.954500025
255,3.01E-05,0.307333198,60,65.52651788,0.739133992,2,"(1, 3)",TRUE,0.962801377
256,1.15E-05,0.735936854,55,59.43000275,0.775368379,3,"(1, 3)",TRUE,0.954246392
257,7.66E-06,0.018214811,30,69.13002351,0.731927362,2,"(1, 3)",TRUE,0.964615151
258,3.66E-05,0.046655926,75,57.17832993,0.814117209,2,"(1, 3)",TRUE,0.966018852
259,5.96E-05,0.060234949,70,55.81786008,0.821256512,2,"(1, 3)",TRUE,0.965720718
260,7.11E-05,0.01401388,35,52.87595831,0.860815471,2,"(1, 3)",TRUE,0.966637818
261,4.99E-05,0.11656771,35,52.81936671,0.770807495,2,"(1, 3)",TRUE,0.964720194
262,7.82E-05,0.001899641,35,51.86660361,0.796646038,2,"(1, 3)",TRUE,0.966337144
263,9.86E-05,0.080842551,35,54.36459695,0.83624602,2,"(1, 3)",TRUE,0.963841977
264,7.17E-05,0.024144746,35,53.2141363,0.744593042,2,"(1, 3)",TRUE,0.965898941
265,2.60E-05,0.145088962,35,50.58413279,0.861596705,2,"(1, 3)",TRUE,0.965017
266,1.78E-05,0.063101304,35,58.48235151,0.715479276,2,"(1, 3)",TRUE,0.965416093
267,4.38E-05,0.038649647,35,50.01832402,0.765656341,2,"(1, 3)",TRUE,0.966030205
268,3.19E-05,0.010867209,35,55.52758555,0.7813137,2,"(1, 3)",TRUE,0.966313279
269,2.33E-05,0.098439882,35,51.72958086,0.755702346,2,"(1, 3)",TRUE,0.965183318
270,5.58E-05,1.00E-05,65,57.33550032,0.724691676,2,"(1, 3)",TRUE,0.966439751
271,7.61E-05,0.193980463,65,57.12617994,0.707294808,2,"(1, 3)",TRUE,0.962594473
272,5.35E-05,0.13738238,65,54.77666941,0.72369107,2,"(1, 3)",TRUE,0.964641288
273,3.78E-05,0.083241444,65,60.14476318,0.868794902,2,"(1, 3)",TRUE,0.965307679
274,5.98E-05,0.024285765,65,53.04637764,0.884973736,2,"(1, 3)",TRUE,0.966166087
275,1.97E-05,0.108468597,65,51.2519129,0.701509367,2,"(1, 3)",TRUE,0.965065814
276,8.73E-05,0.0092292,65,56.44789298,0.809439942,2,"(1, 3)",TRUE,0.965986202
277,1.45E-05,0.04501481,65,57.93179407,0.712366838,2,"(1, 3)",TRUE,0.965697136
278,4.05E-05,0.003504985,65,50.12625371,0.899581612,2,"(1, 3)",TRUE,0.96663211
279,1.06E-05,0.068002993,65,52.12327395,0.914159494,2,"(1, 1)",TRUE,0.950545107
280,4.46E-06,0.159418392,50,53.75163915,0.932340815,2,"(1, 3)",TRUE,0.963032561
281,6.50E-06,0.126041108,65,50.6954842,0.904811185,2,"(1, 3)",TRUE,0.963827644
282,5.98E-08,0.002612165,25,61.89554586,0.897528824,2,"(1, 3)",FALSE,0.952933293
283,4.40E-05,0.841927519,20,59.41218242,0.881057419,2,"(1, 3)",TRUE,0.956525839
284,9.95E-05,0.035521745,35,50.12177607,0.891407942,2,"(1, 3)",TRUE,0.964792611
285,1.79E-05,0.088378313,30,50.04260328,0.909625575,2,"(1, 3)",TRUE,0.965344135
286,3.00E-05,0.883650297,40,55.7787073,0.924318179,2,"(1, 1)",TRUE,0.945187576
287,1.24E-05,0.178507966,65,60.71091288,0.873312856,2,"(1, 3)",TRUE,0.963948489
288,6.32E-05,0.070465858,45,54.20084678,0.893886525,2,"(1, 3)",FALSE,0.964568619
289,9.24E-06,0.000341686,55,67.84238219,0.920054861,2,"(1, 3)",TRUE,0.965330332
290,2.19E-05,0.202937644,70,52.46021196,0.901507968,2,"(1, 3)",TRUE,0.964440674
291,3.50E-05,0.114882704,65,58.73508815,0.875363166,2,"(1, 3)",TRUE,0.965004791
292,9.91E-05,0.140993898,30,54.80753585,0.952671334,2,"(1, 3)",TRUE,0.962452842
293,1.54E-05,0.020203091,50,56.6295417,0.888984889,2,"(1, 1)",TRUE,0.95378549
294,4.16E-05,0.046575517,35,51.43386901,0.859518911,2,"(1, 3)",TRUE,0.966404048
295,2.86E-06,0.086408368,25,62.39716679,0.854491443,2,"(1, 3)",FALSE,0.961172169
296,2.47E-05,0.24418277,65,57.57194281,0.846582495,2,"(1, 3)",TRUE,0.963164551
297,4.87E-06,0.159578136,20,55.67152791,0.866058369,1,"(1, 3)",TRUE,0.965102112
298,5.41E-05,0.969493559,30,64.53202458,0.85132389,2,"(1, 3)",TRUE,0.954335618
299,6.46E-05,0.001738074,40,63.09614751,0.881936708,2,"(1, 3)",TRUE,0.966566512
300,7.45E-06,0.064050208,40,66.21396951,0.879545912,2,"(1, 1)",TRUE,0.949077896
301,6.99E-05,0.28304034,40,62.87968672,0.916785102,2,"(1, 3)",TRUE,0.961175432
302,3.10E-05,0.544306522,40,63.71621292,0.937550816,2,"(1, 3)",FALSE,0.959722775
303,2.22E-06,0.475377742,40,60.98970502,0.9004991,1,"(1, 3)",TRUE,0.962195518
304,1.17E-05,0.101995262,40,59.48722709,0.90845045,2,"(1, 3)",TRUE,0.964570505
305,4.27E-05,0.030112704,40,53.62177328,0.929256077,2,"(1, 3)",TRUE,0.966155477
306,7.89E-05,0.120223274,40,52.71927774,0.871105017,2,"(1, 3)",TRUE,0.963631519
307,2.07E-05,0.175412776,40,58.48951636,0.840403757,2,"(1, 1)",TRUE,0.955015682
308,1.66E-05,0.053246486,40,54.85499055,0.896416246,2,"(1, 3)",FALSE,0.964926165
309,6.05E-06,0.016506771,35,50.03089051,0.945773206,2,"(1, 3)",TRUE,0.964366015
310,9.75E-06,0.364453889,40,65.16541009,0.883623192,1,"(1, 3)",TRUE,0.963564236
311,2.54E-05,0.221228579,55,70.83216208,0.961808452,2,"(1, 3)",TRUE,0.963390959
312,1.68E-08,0.629479467,45,51.23725376,0.829873637,2,"(1, 3)",TRUE,0.95367869
313,3.77E-05,0.139324513,30,67.45465175,0.861112459,2,"(1, 3)",TRUE,0.964177581
314,2.50E-08,0.584369641,70,60.43641876,0.837643666,2,"(1, 1)",TRUE,0.941072837
315,8.49E-05,0.09116748,35,56.22196692,0.887041065,2,"(1, 3)",TRUE,0.964047828
316,4.06E-08,0.001723168,50,68.56914259,0.877325084,2,"(1, 3)",FALSE,0.952358766
317,1.61E-06,0.198560792,40,52.03646087,0.867151487,1,"(1, 3)",TRUE,0.964367856
318,4.89E-05,0.040015101,25,53.18162198,0.91245026,2,"(1, 3)",TRUE,0.966264563
319,1.38E-05,0.000277211,30,61.35171216,0.905184131,2,"(1, 3)",TRUE,0.965850945
320,6.14E-05,0.077227005,20,54.55528715,0.857369364,2,"(1, 3)",TRUE,0.965186255
321,8.10E-06,0.110638467,35,58.90596,0.848164729,2,"(1, 1)",TRUE,0.948981672
322,2.79E-05,0.258309156,45,57.5160959,0.825769635,2,"(1, 3)",TRUE,0.963032568
323,9.99E-05,0.330065874,55,50.09737748,0.843441359,2,"(1, 3)",FALSE,0.958190179
324,6.95E-05,0.166208139,40,69.71595113,0.922434783,1,"(1, 3)",TRUE,0.959366212
325,3.60E-06,0.055938507,30,63.41867521,0.891414722,2,"(1, 3)",TRUE,0.963682793
326,1.93E-05,0.819245514,70,50.9586188,0.817785378,2,"(1, 3)",TRUE,0.957123636
327,3.17E-05,0.024113473,35,55.79647574,0.83244019,2,"(1, 3)",TRUE,0.966489452
328,4.71E-05,0.38935946,25,60.19197561,0.875267172,2,"(1, 1)",TRUE,0.957461493
329,9.71E-05,0.770825254,50,62.02091791,0.899076177,2,"(1, 3)",TRUE,0.95251694
330,1.29E-05,0.13114004,40,54.26207484,0.941656022,2,"(1, 3)",FALSE,0.963707204
331,5.24E-06,0.068893951,20,56.42031313,0.934279335,1,"(1, 3)",TRUE,0.964419017
332,3.87E-05,0.151549305,30,52.26159828,0.853132707,2,"(1, 3)",TRUE,0.964266574
333,7.14E-07,0.431442101,35,58.18233986,0.928046926,2,"(1, 3)",TRUE,0.952486741
334,2.55E-09,0.22755076,55,53.52919802,0.863186961,2,"(1, 3)",TRUE,0.954294765
335,2.16E-05,0.514339898,45,50.07108809,0.882832296,2,"(1, 1)",TRUE,0.95250124
336,5.16E-07,0.093077777,60,66.7488737,0.918926552,2,"(1, 3)",TRUE,0.954754747
337,7.05E-05,0.187394145,70,55.42157914,0.956730588,2,"(1, 3)",FALSE,0.962726099
338,1.69E-05,0.036607127,40,74.82461493,0.868740658,1,"(1, 3)",TRUE,0.963974387
339,9.85E-05,0.122855215,30,64.48716583,0.821826899,2,"(1, 3)",TRUE,0.962973699
340,1.09E-05,0.012137842,35,59.70853911,0.970005441,2,"(1, 3)",TRUE,0.965472817
341,4.10E-06,0.929472204,50,56.66534558,0.910802731,2,"(1, 3)",TRUE,0.948427015
342,5.11E-05,0.0590112,60,51.98429541,0.886903818,2,"(1, 1)",TRUE,0.959732408
343,4.02E-09,0.686075433,40,50.94169213,0.902897412,2,"(1, 3)",TRUE,0.953816145
344,9.15E-08,0.026726712,25,62.83018904,0.89410977,2,"(1, 3)",FALSE,0.95330587
345,6.49E-06,0.212966132,30,61.45743468,0.839587157,1,"(1, 3)",TRUE,0.964325124
346,3.38E-05,0.274833913,20,71.66829028,0.801381467,2,"(1, 3)",TRUE,0.962564185
347,6.09E-05,0.100161402,35,58.54537761,0.878024948,2,"(1, 3)",TRUE,0.964992953
348,2.55E-05,0.001405308,45,65.56426517,0.850123723,2,"(1, 3)",TRUE,0.965892257
349,1.71E-05,0.157894983,60,53.93461754,0.860213562,2,"(1, 3)",TRUE,0.964935018
350,8.91E-06,0.312465033,55,55.04130343,0.832866993,2,"(1, 1)",TRUE,0.948539271
351,2.71E-06,0.076291927,40,50.03290234,0.873258331,2,"(1, 3)",FALSE,0.962322395
352,7.92E-05,0.044644333,70,57.31521372,0.950451976,1,"(1, 3)",TRUE,0.960281949
353,1.62E-07,0.13963112,35,52.26724181,0.92642457,2,"(1, 3)",TRUE,0.95295588
354,3.71E-07,0.188884756,30,53.17136865,0.811960926,2,"(1, 3)",TRUE,0.953103453
355,1.05E-06,0.238035927,50,59.63078982,0.913226337,2,"(1, 3)",TRUE,0.957196394
356,1.39E-05,0.109116583,60,51.20613343,0.790913347,2,"(1, 1)",TRUE,0.952761966
357,3.79E-05,0.01564774,40,60.92962777,0.866892906,2,"(1, 3)",TRUE,0.966444295
358,2.32E-05,0.888575437,25,63.99994814,0.84587596,2,"(1, 3)",FALSE,0.953004268
359,4.56E-05,0.082529116,30,57.71178163,0.855622606,1,"(1, 3)",TRUE,0.962808711
360,2.78E-05,0.002141089,20,54.89612647,0.896145315,2,"(1, 3)",TRUE,0.966630049
361,9.83E-05,0.000756985,20,61.93954406,0.905911286,2,"(1, 3)",TRUE,0.966027136
362,7.48E-06,0.000141558,20,55.7120074,0.990367849,2,"(1, 3)",TRUE,0.964405047
363,1.90E-06,0.057826937,20,58.76931076,0.891204698,2,"(1, 3)",TRUE,0.958462345
364,2.89E-05,0.040446552,35,68.05707145,0.91917436,2,"(1, 1)",TRUE,0.957177642
365,8.21E-09,0.173663372,20,56.90867577,0.933904371,2,"(1, 3)",FALSE,0.952398372
366,6.26E-05,0.118274387,20,62.64386244,0.896978167,2,"(1, 3)",TRUE,0.964173724
367,4.92E-06,0.095770135,20,54.48958396,0.888915698,1,"(1, 3)",TRUE,0.964978361
368,1.10E-05,0.351780973,20,65.99480144,0.979618947,2,"(1, 3)",TRUE,0.960695195
369,9.98E-05,0.026511885,20,60.16718652,0.880588218,2,"(1, 3)",TRUE,0.965366922
370,8.18E-05,0.863456049,20,64.74533399,0.903623616,2,"(1, 3)",TRUE,0.952770125
371,1.37E-09,0.068763274,20,76.86662532,0.913437561,2,"(1, 1)",TRUE,0.941871872
372,1.43E-06,0.144901173,20,69.32373041,0.940967607,2,"(1, 3)",FALSE,0.954703334
373,1.95E-05,0.259578012,20,70.51785765,0.923527515,2,"(1, 2)",TRUE,0.962652769
374,5.24E-05,0.054219881,45,72.50969255,0.885609095,1,"(1, 3)",TRUE,0.961906683
375,1.43E-05,0.28926494,55,63.62360438,0.862717193,2,"(1, 3)",TRUE,0.962519758
376,3.06E-06,0.797513615,40,52.88410425,0.870942941,2,"(1, 3)",TRUE,0.949571728
377,3.19E-05,0.19940156,70,55.15454407,0.930039018,2,"(1, 3)",TRUE,0.964341487
378,2.57E-05,0.16547685,65,59.04646736,0.897453097,2,"(1, 3)",TRUE,0.964621419
379,9.59E-06,0.123844194,30,56.51909113,0.94688437,2,"(1, 1)",FALSE,0.949454507
380,5.87E-06,0.001172117,20,50.05444471,0.878003803,2,"(1, 3)",TRUE,0.9638194
381,7.08E-05,0.087917094,35,54.1501531,0.836814101,1,"(1, 3)",TRUE,0.960734233
382,3.79E-05,0.036879656,50,57.8960955,0.852932407,2,"(1, 2)",TRUE,0.965875017
383,2.02E-05,0.987574901,25,51.47577931,0.916869033,2,"(1, 3)",TRUE,0.949502928
384,2.13E-07,0.708268419,40,60.51915512,0.908666442,2,"(1, 3)",TRUE,0.950608019
385,4.05E-06,0.215795795,65,67.09272827,0.967191612,2,"(1, 3)",TRUE,0.962908968
386,9.94E-05,0.745133707,30,61.53241725,0.827762704,2,"(1, 3)",FALSE,0.951888279
387,5.00E-05,0.02014282,35,53.21609329,0.841931677,2,"(1, 2)",TRUE,0.966242635
388,1.26E-05,0.458221517,20,55.80402974,0.893289347,1,"(1, 1)",TRUE,0.950963756
389,1.17E-07,0.135408759,45,50.83414221,0.957494684,2,"(1, 3)",TRUE,0.952638125
390,6.42E-05,0.000142746,55,59.28325183,0.88446263,2,"(1, 3)",TRUE,0.966311437
391,3.16E-05,0.663419663,40,73.88693302,0.866318777,2,"(1, 3)",TRUE,0.959443541
392,2.29E-06,0.072358341,75,57.97806265,0.847033295,2,"(1, 3)",TRUE,0.963893862
393,1.63E-05,0.098686772,70,54.70299029,0.874033825,2,"(1, 3)",TRUE,0.964654305
394,4.16E-05,0.245321765,65,64.97543751,0.901978525,2,"(1, 3)",FALSE,0.962112914
395,5.57E-08,0.048305001,30,62.43672882,0.934829943,1,"(1, 1)",TRUE,0.943807521
396,7.72E-06,0.022016247,35,57.15211658,0.881109469,2,"(1, 2)",TRUE,0.963710831
397,8.31E-05,0.584138271,20,53.82886747,0.817897298,2,"(1, 3)",TRUE,0.955944819
398,2.24E-05,0.154916459,25,52.36343265,0.92130843,2,"(1, 3)",TRUE,0.964590057
399,5.59E-05,0.112405902,40,66.14987034,0.857013322,2,"(1, 3)",TRUE,0.964754116
400,7.60E-08,0.061404434,50,60.14588012,0.86086629,2,"(1, 3)",TRUE,0.952769697
401,9.53E-06,0.484666377,30,56.3252044,0.895485057,3,"(1, 3)",FALSE,0.957507416
402,2.66E-05,0.000848699,60,52.04327935,0.887850237,2,"(1, 3)",TRUE,0.966479467
403,4.44E-05,0.030533834,60,51.28505743,0.910455102,2,"(1, 3)",TRUE,0.966121933
404,3.52E-05,0.001661637,60,53.18137411,0.87317513,2,"(1, 3)",TRUE,0.966538284
405,7.35E-05,0.045542957,60,50.05958945,0.901808183,2,"(1, 3)",TRUE,0.965339025
406,5.73E-05,0.08329885,65,55.27589344,0.882920697,2,"(1, 3)",TRUE,0.964962935
407,4.27E-05,0.021651301,35,53.95374463,0.891589584,2,"(1, 3)",TRUE,0.966544167
408,9.89E-05,0.070720366,60,50.1549436,0.865822608,2,"(1, 3)",TRUE,0.964198558
409,1.82E-05,0.001676153,45,52.3706726,0.805316865,2,"(1, 3)",TRUE,0.966576234
410,1.64E-05,0.002323074,45,52.71436684,0.808254371,2,"(1, 3)",TRUE,0.965679381
411,2.62E-05,0.049097294,45,51.51978569,0.799945264,2,"(1, 3)",TRUE,0.965909791
412,1.25E-05,0.100000977,45,56.19194129,0.822822503,2,"(1, 3)",TRUE,0.964336815
413,1.92E-05,0.017648562,45,54.98295241,0.795122055,2,"(1, 3)",TRUE,0.965977562
414,3.14E-05,0.036744405,45,58.03129077,0.802267802,2,"(1, 3)",TRUE,0.966081482
415,6.53E-06,0.127999969,45,53.64300481,0.781720153,2,"(1, 3)",TRUE,0.963225364
416,1.52E-05,0.087731748,45,58.85772741,0.811936882,2,"(1, 3)",TRUE,0.964881824
417,7.27E-05,0.064293203,45,57.13703726,0.786554552,2,"(1, 3)",TRUE,0.965142612
418,2.19E-05,0.109401503,45,50.73865004,0.829291729,2,"(1, 3)",TRUE,0.96499379
419,5.14E-05,0.036378947,45,55.65163526,0.815460754,2,"(1, 3)",TRUE,0.966263905
420,3.61E-05,0.001352564,45,54.43584099,0.836300373,2,"(1, 3)",TRUE,0.966915438
421,5.35E-06,0.071719694,45,51.77342642,0.833242744,2,"(1, 3)",TRUE,0.96383237
422,1.08E-05,0.17939247,45,50.30894197,0.805954697,2,"(1, 3)",TRUE,0.963470053
423,8.22E-06,0.020450386,45,52.79308995,0.793624424,2,"(1, 3)",TRUE,0.964382422
424,3.38E-05,0.14061488,45,54.42291264,0.819234793,2,"(1, 3)",TRUE,0.965001768
425,1.28E-05,0.050927153,45,50.01034752,0.824313214,2,"(1, 3)",TRUE,0.96514121
426,2.63E-05,0.001404463,45,51.45704716,0.838438133,2,"(1, 3)",TRUE,0.966585421
427,2.87E-05,0.109769594,45,54.10250654,0.837358414,2,"(1, 3)",TRUE,0.96544946
428,3.97E-06,0.000167049,45,50.88665694,0.843545053,2,"(1, 3)",TRUE,0.963454136
429,3.96E-05,0.071056409,45,51.45876111,0.851218424,2,"(1, 3)",TRUE,0.966033278
430,2.53E-05,0.031804549,45,57.22796773,0.839166487,1,"(1, 1)",TRUE,0.957735839
431,1.00E-05,0.088922265,45,53.32636001,0.856977929,2,"(1, 2)",TRUE,0.96374165
432,5.22E-05,0.000966281,45,55.37910213,0.830508701,2,"(1, 3)",TRUE,0.966912447
433,7.77E-05,0.161720824,45,56.3628974,0.846037934,2,"(1, 3)",TRUE,0.962840568
434,8.96E-05,0.130479642,45,59.34954807,0.829389318,2,"(1, 3)",TRUE,0.96324321
435,4.93E-05,0.045388234,20,55.0356507,0.815013585,3,"(1, 3)",TRUE,0.96567992
436,9.98E-05,0.196971114,55,61.19343443,0.851272586,2,"(1, 3)",TRUE,0.961641811
437,5.63E-05,0.000726339,75,57.84049112,0.869646253,2,"(1, 3)",TRUE,0.966662022
438,5.87E-05,0.01787125,75,58.03216913,0.83396693,2,"(1, 1)",FALSE,0.959865028
439,6.54E-05,0.085363589,75,60.95039145,0.863926378,1,"(1, 3)",TRUE,0.961163908
440,3.90E-05,0.11808434,75,60.03972317,0.85689651,2,"(1, 2)",TRUE,0.964624862
441,9.80E-05,0.055462935,75,58.50073378,0.823447744,2,"(1, 3)",TRUE,0.964411869
442,5.19E-05,0.144220388,75,56.73201959,0.827996161,2,"(1, 3)",TRUE,0.96457682
443,7.75E-05,0.101725877,75,55.59590586,0.84532867,2,"(1, 3)",TRUE,0.964291421
444,1.95E-05,0.174694667,75,59.46461864,0.849917951,3,"(1, 3)",TRUE,0.962572497
445,4.08E-05,0.000772988,75,63.91398644,0.810302934,2,"(1, 3)",TRUE,0.966422493
446,1.49E-05,0.060326372,75,57.4624747,0.870644369,2,"(1, 3)",FALSE,0.964903846
447,8.23E-05,0.029929335,75,62.04369823,0.83283254,1,"(1, 1)",TRUE,0.960555607
448,3.51E-05,0.000455142,75,53.28758356,0.796521868,2,"(1, 3)",TRUE,0.966817614
449,6.13E-05,0.076001524,75,56.05684289,0.776250509,2,"(1, 2)",TRUE,0.965406337
450,3.25E-05,0.021757689,75,58.57601624,0.791598856,2,"(1, 3)",TRUE,0.966529336
451,9.90E-05,0.225020638,75,60.08519531,0.797173467,2,"(1, 3)",TRUE,0.961153121
452,2.18E-05,0.043662612,75,63.16950836,0.783710965,2,"(1, 3)",TRUE,0.965782395
453,9.90E-05,0.093526224,75,53.50243933,0.804248696,3,"(1, 3)",TRUE,0.964045356
454,4.89E-05,0.153652203,75,61.43418243,0.800722166,2,"(1, 3)",FALSE,0.963657482
455,1.54E-05,0.00032939,75,54.59795281,0.769361173,2,"(1, 3)",TRUE,0.965705718
456,6.63E-06,0.402979924,75,56.88512281,0.817936876,2,"(1, 3)",TRUE,0.960342893
457,1.16E-05,0.126820443,75,52.58968295,0.791686998,1,"(1, 1)",TRUE,0.954068197
458,2.68E-07,0.070588201,75,55.71327609,0.809141971,2,"(1, 2)",TRUE,0.954295835
459,3.41E-05,0.000201642,75,57.93213919,0.823074868,2,"(1, 3)",TRUE,0.966370553
460,1.02E-09,0.189292265,75,53.883342,0.778667559,2,"(1, 3)",TRUE,0.954446056
461,5.97E-05,0.037519581,75,60.84497407,0.815008981,2,"(1, 3)",TRUE,0.965817658
462,2.30E-05,0.109817721,30,59.23863237,0.785827772,3,"(1, 3)",FALSE,0.962830418
463,2.98E-08,0.061718513,70,62.14008632,0.797229295,2,"(1, 3)",TRUE,0.953671002
464,8.93E-06,0.017947855,35,57.14680052,0.763737433,2,"(1, 3)",TRUE,0.96511112
465,6.16E-09,0.557666663,75,50.02913317,0.770637731,2,"(1, 3)",TRUE,0.953285002
466,7.58E-05,0.209652219,50,55.08690885,0.82590016,1,"(1, 2)",TRUE,0.961019939
467,4.69E-05,0.084679088,45,52.60184047,0.841104477,2,"(1, 1)",TRUE,0.958650451
468,2.05E-05,0.159389768,25,58.17045335,0.788365132,2,"(1, 3)",TRUE,0.964698467
469,3.09E-05,0.049377754,30,56.38290645,0.807546106,2,"(1, 3)",TRUE,0.965616863
470,4.90E-06,0.127692591,45,65.22785142,0.818142335,2,"(1, 3)",FALSE,0.962483414
471,1.71E-05,0.428744914,35,54.12138527,0.775690038,3,"(1, 3)",TRUE,0.960738042
472,6.84E-05,0.905548376,75,63.41107205,0.833743123,2,"(1, 3)",TRUE,0.953769953
473,1.30E-05,0.020787341,55,59.46135907,0.800190577,2,"(1, 3)",TRUE,0.965499983
474,3.65E-05,0.103807093,45,51.76249889,0.822860821,2,"(1, 3)",TRUE,0.965257634
475,7.99E-05,0.035554001,30,60.61819242,0.810602098,1,"(1, 1)",TRUE,0.961259028
476,4.96E-05,0.000404593,75,52.95858737,0.783224754,2,"(1, 2)",TRUE,0.966493498
477,3.52E-06,0.143581325,70,55.39032992,0.844004572,2,"(1, 3)",TRUE,0.96270857
478,8.11E-06,0.336334529,35,67.83035584,0.82890086,2,"(1, 3)",FALSE,0.960458802
479,9.70E-05,0.059096606,50,51.03087521,0.81355918,2,"(1, 3)",TRUE,0.964206632
480,2.60E-05,0.180209364,45,50.05236006,0.793490258,3,"(1, 3)",TRUE,0.96360003
481,9.94E-05,0.238058421,75,57.79695374,0.834997905,2,"(1, 3)",TRUE,0.960453729
482,5.96E-05,0.53355564,25,62.26305366,0.852791679,2,"(1, 3)",TRUE,0.958816664
483,1.14E-06,0.082842382,30,64.33330694,0.804303559,2,"(1, 3)",TRUE,0.957367293
484,4.22E-05,0.272072785,45,56.41414044,0.842587293,1,"(1, 1)",TRUE,0.958060245
485,1.78E-05,0.017874971,35,54.38006754,0.860902108,2,"(1, 2)",TRUE,0.965045371
486,2.52E-06,0.306737951,75,59.15540799,0.818572571,2,"(1, 3)",FALSE,0.960201386
487,3.14E-05,0.111871322,55,53.37267527,0.760050903,2,"(1, 3)",TRUE,0.965105039
488,7.83E-07,0.378167903,45,66.54912038,0.848997936,2,"(1, 3)",TRUE,0.952235169
489,1.20E-05,0.506748168,30,52.15249705,0.772430333,3,"(1, 3)",TRUE,0.958711475
490,9.97E-05,0.000120713,75,60.00214554,0.789152077,2,"(1, 3)",TRUE,0.966084109
491,6.35E-06,0.04258141,35,58.42819052,0.83811235,2,"(1, 3)",TRUE,0.96462367
492,6.06E-07,0.643225545,70,55.81747811,0.825481139,2,"(1, 3)",TRUE,0.952377786
493,2.30E-05,0.090339676,45,57.33208328,0.868622357,1,"(1, 1)",TRUE,0.957388187
494,6.63E-05,0.059209135,50,54.89491529,0.752653923,2,"(1, 2)",FALSE,0.964737707
495,1.79E-06,0.142289585,75,75.84528672,0.799489756,2,"(1, 3)",TRUE,0.962980974
496,1.38E-08,0.95239817,25,50.00022774,0.778781253,2,"(1, 3)",TRUE,0.952770632
497,4.47E-05,0.017363103,30,61.58129142,0.812964646,2,"(1, 3)",TRUE,0.966575792
498,1.64E-05,0.196461232,45,53.85330601,0.828913897,3,"(1, 3)",TRUE,0.962513951
499,3.34E-05,0.125548614,35,68.76551435,0.807718419,2,"(1, 3)",TRUE,0.964511661
